phase,throttle,T4_K,Fn_kN,Fg_kN,Fram_kN,W_kgs,BPR,OPR,N1_pct,N2_pct,fuel_kgs,SFC_g_kNs,EGT_C,VBV,LPC_Rline,valid,validity
climb,40,1280.0,27.918765184443533,61.50748054698938,33.58871536254585,208.3970827626458,5.8275255468243685,15.397711683129673,88.00344058168879,89.07190203044935,0.43363727680918557,15.532108026425549,502.16295482320425,0.17076923076923076,2.252538693952601,True,
climb,35,1245.0,24.96652807318064,57.66885153310794,32.7023234599273,202.89757244507896,5.839333116901461,14.461109738342984,87.04347542507743,88.2180298305695,0.39499123990965435,15.820831745282153,479.7101437911657,0.18692307692307691,2.228330530432366,True,
climb,30,1210.0,22.049100391328885,53.79634330757733,31.74724291624845,196.97189184200423,5.845089647378086,13.543671090905772,86.03050940688311,87.36016908266336,0.3584588802832148,16.257301836413415,458.2980580357005,0.20307692307692307,2.207338020683033,True,
climb,25,1175.0,19.088342600066674,49.76392241699437,30.67557981692769,190.32288900899158,5.844136681784441,12.627047992566562,84.92319640029311,86.49412797141738,0.32353698483722365,16.949454000060413,437.99609089975195,0.2192307692307692,2.1880945058305064,True,
climb,20,1140.0,16.40502324356136,46.05354538941073,29.64852214584937,183.95063510849297,5.834650033977567,11.7803056093333,83.85130362397753,85.63830408240992,0.2917827647182206,17.78618416970177,418.4599985193639,0.23538461538461536,2.168603953625023,True,
climb,15,1105.0,13.964545363400964,42.62420905638869,28.65966369298773,177.81538359270155,5.814420045462456,10.999073100216604,82.80778591532781,84.7950109217213,0.2628466758581813,18.822429876382806,399.53438254121806,0.25153846153846154,2.157628695396629,True,
climb,10,1070.0,11.742321583292822,39.44809896914127,27.705777385848446,171.89711248440173,5.7858308860045105,10.273210015860938,81.78859314899282,83.9483399983008,0.23636938376598063,20.129697699839106,381.1334327949593,0.2676923076923077,2.1465441649560044,False,FAN off map (R-line 2.65)
climb,5,1035.0,9.746587350613138,36.54773709861517,26.801149748002032,166.28446077448032,5.750219994858444,9.601916306513324,80.80824288978663,83.11652765825363,0.21226798256799834,21.778698013171244,363.1018757709687,0.2838461538461538,2.1349555706450367,False,FAN off map (R-line 2.72)
climb,0,1000.0,7.949634688397598,33.889803401327946,25.940168712930344,160.94260908154618,5.708808112781079,8.97772529414122,79.85975739103144,82.29741331829648,0.19025108554936845,23.932053862429395,345.3938110443779,0.3,2.1217899255582466,False,FAN off map (R-line 2.80)
cruise,100,1700.0,36.07458562851554,71.32023615787757,35.24565052936203,152.32116654400053,5.10974820401902,33.59428416283098,107.1182375073587,97.78470376654077,0.6783611368876492,18.804405513432464,799.5543224739671,0.0,111.93136267020583,False,LPC off map (R-line 111.93); N1 107.1% above 104% limit
